"Ft_minus_F0_ppm","F0_ppm","Ft_ppm","FL_ppm","t_days","alpha","mu_day","mu_day_sem","mu_sigma_ratio","mu_year","mu_year_sem","T_G_years","T_G_years_sem"
4.1,95,99.1,3700,14,0.66,0.000124888469887805,2.84709026516466e-05,4.38653004493281,0.0455842915090489,0.010391879467851,15.2058342383658,3.46648354909393
4.2,95,99.2,3700,14,0.66,0.000127937259671156,2.88171626039476e-05,4.4396202856429,0.0466970997799718,0.0105182643504409,14.8434738736651,3.34341067898685
4.3,95,99.3,3700,14,0.66,0.000130986179591753,2.91675434634254e-05,4.4908197276196,0.0478099555509898,0.0106461533641503,14.4979674750104,3.22835659286088
4.4,95,99.4,3700,14,0.66,0.000134035229660659,2.95219005826823e-05,4.54019649870662,0.0489228588261406,0.010775493712679,14.1681659083582,3.12060632450475
4.5,95,99.5,3700,14,0.66,0.000137084409889018,2.98800945499186e-05,4.58781713893175,0.0500358096094915,0.0109062345107203,13.8530221849045,3.01952361338668
4.6,95,99.6,3700,14,0.66,0.000140133720287934,3.02419910623911e-05,4.63374650163839,0.051148807905096,0.0110383267377728,13.5515803583545,2.92454072607618
4.7,95,99.7,3700,14,0.66,0.000143183160868515,3.06074607929878e-05,4.67804767722903,0.052261853717008,0.0111717231894405,13.2629658395444,2.83514977927727
4.8,95,99.8,3700,14,0.66,0.000146232731641908,3.09763792515653e-05,4.72078193691789,0.0533749470492964,0.0113063784268213,12.9863769217375,2.75089531676527
4.9,95,99.9,3700,14,0.66,0.000149282432619182,3.13486266425094e-05,4.7620086940827,0.0544880879060016,0.0114422487245159,12.7210773436518,2.67136793753844
5,95,100,3700,14,0.66,0.000152332263811489,3.17240877198434e-05,4.80178548101182,0.0556012762911936,0.0115792920177428,12.466389744901,2.59619880858862
5.1,95,100.1,3700,14,0.66,0.000155382225229941,3.21026516409587e-05,4.84016793901517,0.0567145122089284,0.0117174678489499,12.2216898914071,2.52505492482847
5.2,95,100.2,3700,14,0.66,0.00015843231688565,3.2484211819984e-05,4.8772098200697,0.0578277956632624,0.0118567373142942,11.9864015670979,2.45763500224532
5.3,95,100.3,3700,14,0.66,0.000161482538789773,3.2868665781612e-05,4.91296299833725,0.0589411266582673,0.0119970630102884,11.7599920439037,2.39366590953032
5.4,95,100.4,3700,14,0.66,0.000164532890953386,3.3255915016094e-05,4.94747749005738,0.060054505197986,0.0121384089808743,11.5419680550992,2.3328995590772
5.5,95,100.5,3700,14,0.66,0.000167583373387647,3.36458648360248e-05,4.98080148049024,0.0611679312864911,0.012280740665149,11.3318722078971,2.27511019105738
5.6,95,100.6,3700,14,0.66,0.000170633986103674,3.4038424235406e-05,5.01298135670408,0.0622814049278411,0.0124240248459232,11.129279780426,2.22009199486495
5.7,95,100.7,3700,14,0.66,0.00017368472911259,3.44335057514098e-05,5.04406174516456,0.0633949261260953,0.0125682295992646,10.9337958558583,2.16765702091968
5.8,95,100.8,3700,14,0.66,0.000176735602425555,3.48310253291921e-05,5.07408555318732,0.0645084948853277,0.0127133242451551,10.7450527530073,2.11763334306764
5.9,95,100.9,3700,14,0.66,0.000179786606053654,3.52309021900129e-05,5.10309401343175,0.0656221112095839,0.0128592792993547,10.5627077182289,2.0698634378334
6,95,101,3700,14,0.66,0.000182837740008052,3.56330587028922e-05,5.13112673072918,0.0667357751029391,0.0130060664265556,10.3864408481174,2.02420275178848
6.1,95,101.1,3700,14,0.66,0.000185889004299875,3.60374202599481e-05,5.15822173060684,0.0678494865694545,0.0131536583948811,10.215953216542,1.98051843252969
6.2,95,101.2,3700,14,0.66,0.000188940398940252,3.64439151555323e-05,5.18441550897887,0.0689632456131919,0.0133020290317693,10.0509651829286,1.93868820227109
6.3,95,101.3,3700,14,0.66,0.00019199192394035,3.68524744692425e-05,5.20974308253274,0.0700770522382278,0.0134511531812735,9.89121486165803,1.89859935604528
6.4,95,101.4,3700,14,0.66,0.000195043579311262,3.72630319528497e-05,5.23423803940748,0.0711909064486107,0.0136010066627901,9.7364567349665,1.86014786902368
6.5,95,101.5,3700,14,0.66,0.000198095365064159,3.7675523921154e-05,5.25793258983542,0.0723048082484182,0.0137515662312212,9.58646039387165,1.82323759958507
6.6,95,101.6,3700,14,0.66,0.000201147281210176,3.80898891467536e-05,5.2808576164449,0.0734187576417141,0.0139028095385651,9.44100939357385,1.78777957659264
6.7,95,101.7,3700,14,0.66,0.000204199327760446,3.8506068758691e-05,5.30304272399548,0.0745327546325628,0.0140547150969222,9.29990021135103,1.75369136086163
6.8,95,101.8,3700,14,0.66,0.000207251504726147,3.8924006144931e-05,5.32451628834039,0.0756467992250436,0.0142072622428998,9.16294129640415,1.72089647213008
6.9,95,101.9,3700,14,0.66,0.000210303812118384,3.9343646858599e-05,5.34530550444944,0.0767608914232102,0.0143604311033886,9.02995220233149,1.68932387397034
