"label_panel","FL_ppm","alpha_label","alpha","deltaH_permil","deltaH_ppm","generation_time_years","mu_day","detectable_fraction","incubation_time_days","TG_error_years"
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,23.2958626988977,8.15180530526981e-05,0.0207444694085038,257.153573768503,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,23.8394094297805,7.96594134175493e-05,0.0207444694085038,263.153565533708,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,24.3956383717698,7.7843151405074e-05,0.0207444694085038,269.293551080273,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,24.9648454303864,7.6068300790906e-05,0.0207444694085038,275.576796789154,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,25.5473334153162,7.43339173809269e-05,0.0207444694085038,282.006645253577,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,26.1434122015003,7.26390785089687e-05,0.0207444694085038,288.586517057255,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,26.7533988939837,7.09828825459692e-05,0.0207444694085038,295.319912594084,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,27.3776179966108,6.9364448420319e-05,0.0207444694085038,302.210413930303,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,28.0164015846564,6.77829151491442e-05,0.0207444694085038,309.261686710097,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,28.6700894814846,6.62374413802763e-05,0.0207444694085038,316.47748210567,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,29.3390294393303,6.47272049446657e-05,0.0207444694085038,323.861638812805,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,30.0235773242978,6.32514024189996e-05,0.0207444694085038,331.418085093003,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,30.7240973056764,6.18092486982931e-05,0.0207444694085038,339.150840863249,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,31.4409620496731,6.03999765782248e-05,0.0207444694085038,347.064019834557,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,32.1745529176653,5.90228363469956e-05,0.0207444694085038,355.161831700398,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,32.9252601690797,5.76770953864931e-05,0.0207444694085038,363.448584376196,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,33.6934831690039,5.636203778255e-05,0.0207444694085038,371.928686291075,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,34.4796306006436,5.50769639440877e-05,0.0207444694085038,380.606648733077,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,35.2841206827351,5.38211902309451e-05,0.0207444694085038,389.487088249101,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,36.107381392032,5.25940485901916e-05,0.0207444694085038,398.574729100834,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,36.9498506909821,5.13948862007332e-05,0.0207444694085038,407.874405777995,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,37.8119767607175,5.02230651260211e-05,0.0207444694085038,417.391065570205,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,38.6942182394793,4.90779619746794e-05,0.0207444694085038,427.129771198872,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,39.5970444666072,4.79589675688698e-05,0.0207444694085038,437.095703510487,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,40.5209357322209,4.68654866202179e-05,0.0207444694085038,447.294164232755,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,41.466383532727,4.57969374131293e-05,0.0207444694085038,457.730578795037,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,42.4338908322877,4.47527514953247e-05,0.0207444694085038,468.410499214595,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,43.4239723303909,4.37323733754327e-05,0.0207444694085038,479.339607050182,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,44.4371547356619,4.27352602274756e-05,0.0207444694085038,490.523716424554,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,45.473977046065,4.17608816020951e-05,0.0207444694085038,501.968777117485,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,46.5349908356423,4.08087191443603e-05,0.0207444694085038,513.680877730972,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,47.620760547943,3.98782663180112e-05,0.0207444694085038,525.666248928276,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,48.7318637962985,3.89690281359884e-05,0.0207444694085038,537.931266748541,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,49.8688916711048,3.80805208971078e-05,0.0207444694085038,550.482455998754,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,51.0324490542733,3.72122719287385e-05,0.0207444694085038,563.326493724845,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,52.2231549410189,3.63638193353482e-05,0.0207444694085038,576.470212763777,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,53.4416427691569,3.55347117527815e-05,0.0207444694085038,589.920605378511,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,54.6885607560816,3.47245081081408e-05,0.0207444694085038,603.684826977787,NA
